username,comment,profile_url,source,avatar_url
Abdelaziz Mohamed,3/2للارجنتين,https://www.facebook.com/people/Abdelaziz-Mohamed/pfbid033fthQkL2UdRxHiPGZnRtGyFmZhM1Pfqm4BzK9dYWo6wraMYHK1YpxjfF2W6etTZql/,Facebook,https://scontent-sea1-1.xx.fbcdn.net/v/t39.30808-1/728969617_1050136164128978_4513103701050151893_n.jpg?stp=cp6_dst-jpg_tt6&cstp=mx2048x2048&ctp=s32x32&_nc_cat=104&ccb=1-7&_nc_sid=e99d92&_nc_ohc=L9Xx34VfP3YQ7kNvwGqxxsn&_nc_oc=AdqxE4pJ-O7ZJ34QFn6OaU8ruzT84yajTEyzUunETAd3OPJtoiJaMZho0Fcg2mldb2c&_nc_zt=24&_nc_ht=scontent-sea1-1.xx&_nc_gid=PImXoIUoytSYiW4qIlAEeA&_nc_ss=72289&oh=00_AQAhjOPaTZCtNG6drhzstek9Y7_qqS6DDb_Lsn2U8KT14A&oe=6A541484
Ahmed Ibrahim,3/2 للارجنتين,https://www.facebook.com/cairo24/posts/pfbid0n4yfXRrXbdPxZt8jcweZAK1gQiYpu73q8JBp7MSZmCbkVmrdXzJ75aUWctVNZNAnl?comment_id=2208648889919355,Facebook,https://scontent-dfw5-2.xx.fbcdn.net/v/t39.30808-1/689791445_2449083165537144_5063095584465276830_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx1065x1065&ctp=s32x32&_nc_cat=107&ccb=1-7&_nc_sid=1d2534&_nc_ohc=NooXSw5xqH8Q7kNvwEWrlvc&_nc_oc=AdqDdpKdBEBPqLbEoxBUVKmdq0iAunsNgtc5UoHr7eNS2AY9NogZLs5PHZlkVHt54MM&_nc_zt=24&_nc_ht=scontent-dfw5-2.xx&_nc_gid=oWi4XIeNBQfNp0n47C69Xg&_nc_ss=72289&oh=00_AQCu0vrvdQYvtbJyO2HpOE2tN7xfiFQwExc4MRVDjX7ZxQ&oe=6A540879
Ahmed Mesbah,3/2 الارجنتين,https://www.facebook.com/ahmed.mosbah.35175,Facebook,https://scontent-phl2-1.xx.fbcdn.net/v/t1.6435-1/95357989_111567090542578_1478341358329528320_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx720x720&ctp=s32x32&_nc_cat=107&ccb=1-7&_nc_sid=e99d92&_nc_ohc=-zTCePmyCWUQ7kNvwH0X6hu&_nc_oc=AdqkXhAe2xcdXWxu7D8g_ipA5y1Sedjhie04JXfribydJ6FLpRxBK2ghnbXs0CZpDdo&_nc_zt=24&_nc_ht=scontent-phl2-1.xx&_nc_gid=-Wnn4aO-pOhKxLcwcDt9KQ&_nc_ss=72289&oh=00_AQAB3shKwjV7fNBFXfc23uLvEqBTnhLOLrlxJ_0CyMsAmQ&oe=6A75CEDC
Ahmed Mozel,فوز الارچنتين 3-2,https://www.facebook.com/cairo24/posts/pfbid0n4yfXRrXbdPxZt8jcweZAK1gQiYpu73q8JBp7MSZmCbkVmrdXzJ75aUWctVNZNAnl?comment_id=1336691221977317,Facebook,https://scontent-ord5-1.xx.fbcdn.net/v/t1.6435-1/117186755_10157361951220318_955178893371627870_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx554x554&ctp=s32x32&_nc_cat=106&ccb=1-7&_nc_sid=e99d92&_nc_ohc=nZlmOXdgM3AQ7kNvwGsctJ-&_nc_oc=AdoPTNAOnL8CgkSSfbdoJbt0F-v8FMfSx5_hHr1F4uYcUPz7rva1NzFTpFquyai8QXw&_nc_zt=24&_nc_ht=scontent-ord5-1.xx&_nc_gid=7813lBbnr0crONotHmKRPg&_nc_ss=72289&oh=00_AQCyxavWlPvygCE8r5NDUQ__wexHq8iWVMZPFzik_zl13g&oe=6A75B393
Ahmed Sh Daly,2/3الارجنتين,https://www.facebook.com/ahmed.sh.daly,Facebook,https://scontent-dfw5-1.xx.fbcdn.net/v/t1.6435-1/125990513_10222995756658840_8035454195576520322_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx720x720&ctp=s32x32&_nc_cat=105&ccb=1-7&_nc_sid=e99d92&_nc_ohc=aCUieX6H99gQ7kNvwFi3v-b&_nc_oc=Adpp-AdaaEcq2TC5lMSeQ9-ah5ZNWXzbq-5x8IE5dXMcDnNyA41Qb-nFUsCoswHHprk&_nc_zt=24&_nc_ht=scontent-dfw5-1.xx&_nc_gid=EfStntNNTYI-EjR3eLIXLQ&_nc_ss=72289&oh=00_AQDvPZ4KO099XUqPA8ykKZM45ITgR8DsGTNvoahA63N1iA&oe=6A75CC9B
Aya Hosny,3/2 للأرجنتين 😂 Hala Ghaith  عاملين نتوقع الا ما كسبنا كيس لب حتى 😂😂😂,https://www.facebook.com/aya.hosny.852814,Facebook,https://scontent-iad6-1.xx.fbcdn.net/v/t39.30808-1/639957612_26100435736311843_3050785959719943144_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx984x984&ctp=s32x32&_nc_cat=107&ccb=1-7&_nc_sid=e99d92&_nc_ohc=bU00obVcgCsQ7kNvwFgXrqd&_nc_oc=AdpYi6XhuChe-78xgDAp5U0I4mkVXJGT4dYIAhmFwdIT97nouYVe__V50dDYoZt8kdY&_nc_zt=24&_nc_ht=scontent-iad6-1.xx&_nc_gid=ABuR5Y07DcG1iPcg6GaSDg&_nc_ss=7c289&oh=00_AQBbXmwwkDZnNW2Xs2sl2mybXdEnIyDx8T1mRZq4RcpZJA&oe=6A543630
Eman Hndawy,3/2للارجنتين,https://www.facebook.com/eman.hndawy.5,Facebook,https://scontent-mia3-3.xx.fbcdn.net/v/t39.30808-1/518114770_1188999756589422_7824315278700580627_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx1024x1024&ctp=s32x32&_nc_cat=107&ccb=1-7&_nc_sid=e99d92&_nc_ohc=OxJv8JsajJoQ7kNvwESn01q&_nc_oc=Adp2PfxukrxiA6S5XCDdewZ4N98SvvtL_KGoUjyZNjjBrPIbYrUThs33r2kizSxh04g&_nc_zt=24&_nc_ht=scontent-mia3-3.xx&_nc_gid=F9aKs9c4s0dhr9dfHnEfyA&_nc_ss=72289&oh=00_AQCieALP1FfNAJfFrNnk1r5JaoNX5JccQQSdid0LOn3yoA&oe=6A541753
Gomaa Abdelaziz,3/2 الارجنتين,https://www.facebook.com/gomaa.abdelaziz.284587,Facebook,https://scontent-mia5-1.xx.fbcdn.net/v/t39.30808-1/718112547_4401312250142042_5363582043648492712_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx2048x2034&ctp=s32x32&_nc_cat=102&ccb=1-7&_nc_sid=e99d92&_nc_ohc=0tMKReEv65cQ7kNvwHtXiBU&_nc_oc=Adqx_foPQEVcApJk64m26k-JpVWQm4zAvC2H8s_6ySBcY3X9IFkXKnsnGTBcAuXbqSY&_nc_zt=24&_nc_ht=scontent-mia5-1.xx&_nc_gid=CwYQXu5J66u7igy7x15Vfw&_nc_ss=72289&oh=00_AQDr2N209ksP3TOcxA4sEMvCdIqcQZabCoCR8DolqQUVfA&oe=6A541869
Khaled Shwarib,3/2 للأرجنتين,https://www.facebook.com/khaled.shwarib.7,Facebook,https://scontent-iad3-1.xx.fbcdn.net/v/t39.30808-1/725005819_1758197808886781_8414730485356360805_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx400x400&ctp=s32x32&_nc_cat=108&ccb=1-7&_nc_sid=e99d92&_nc_ohc=aJ2X0pYqBP4Q7kNvwF0Vp6M&_nc_oc=Adqj-Ol4EceEp3lACqZxtFx2N43QNXNh4Czpec1h1t7RejE9LSEQj-zfIt2NX1QWw_c&_nc_zt=24&_nc_ht=scontent-iad3-1.xx&_nc_gid=vSSYRcDAjWaXXTlh9XEvaQ&_nc_ss=72289&oh=00_AQDo5zSAqO4A4irHTMIpNSCMRQ7hRyFy8ii6FVw527MKOQ&oe=6A543435
Malak Ramy,الارجنتين ٣ مصر ٢,https://www.facebook.com/people/Malak-Ramy/pfbid02bjdbDxyDGpG7sp6mRyxkENTPimBUv2vQDwz1DjCVRkFrMVqHkjkH7om1iuegjxs5l/,Facebook,https://scontent-iad3-1.xx.fbcdn.net/v/t39.30808-1/718190679_122106868743343091_4084504599016648214_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx544x543&ctp=s32x32&_nc_cat=104&ccb=1-7&_nc_sid=e99d92&_nc_ohc=LyHd-yrOe4IQ7kNvwHofOKU&_nc_oc=AdqJk0mJhyQmhfQRMYBRS91ghDaBIFgns8eqz5SZuzRDtRkCRnQ3cxGYheC66MpFsSE&_nc_zt=24&_nc_ht=scontent-iad3-1.xx&_nc_gid=1RZBZfh1CmHB6gmK4cZmzA&_nc_ss=72289&oh=00_AQDeXNi1wUz9XzJjQ1x0-eIy-5uWksU4T8d7N07EhpxWgg&oe=6A541C3B
